Row Labels,% Bachelor's degree or higher,% High school graduate or higher,Median age,Median Household Income,Population Per Square Mile,Population,% of Population that Voted
Adair,15.2,91.8,46,47264,13.25034957,7543,0.498342834
Adams,14.7,90.5,46.4,47335,9.297701198,3937,0.528829058
Allamakee,15.9,88.3,44.8,47886,22.14426318,14152,0.483111928
Appanoose,18.4,87.6,44.7,41525,25.64690363,12754,0.477967696
Audubon,16.4,91.1,47.7,47556,13.39841025,5935,0.569334457
Benton,20,92.1,40.9,59186,36.14484739,25895,0.528673489
Black Hawk,26.2,89.7,34.6,47002,233.2261594,131947,0.479139351
Boone,22.5,93.9,41.1,52714,46.05918096,26326,0.5311859
Bremer,28.2,94.3,38.6,61619,56.21716207,24481,0.545320861
Buchanan,17.3,91.7,38.8,56393,36.68360717,20947,0.483935647
Buena Vista,19.7,78.9,36.8,48010,35.58786951,20460,0.399755621
Butler,15.5,91.5,43.6,51701,25.79762157,14966,0.498262729
Calhoun,18.9,90.5,46.7,44934,17.50975493,9980,0.511523046
Carroll,18.2,91.6,41.9,48998,36.35520699,20702,0.504057579
Cass,20,92.5,44.7,43960,24.26856694,13694,0.515189134
Cedar,20.8,92.1,41.9,59672,31.8136947,18434,0.509167842
Cerro Gordo,22,93,43.9,45012,76.9058872,43707,0.517834672
Cherokee,20.5,91.5,47.1,50828,20.76941477,11982,0.516274412
Chickasaw,14.5,89.3,43.5,46020,24.44387168,12329,0.51642469
Clarke,15.7,87.7,39.6,42430,21.53231006,9284,0.47447221
Clay,18.5,93.6,42.1,49438,29.18528025,16555,0.515977046
Clayton,16.2,91.8,45.4,47725,22.9916652,17900,0.508268156
Clinton,19.2,90.6,42.2,49849,70.02726952,48663,0.467459877
Crawford,14.3,78.1,38.5,47437,24.16583822,17259,0.397589663
Dallas,43.7,94.4,34.6,74876,122.5666882,72124,0.521560091
Davis,16.8,86.3,37.9,46048,17.45362295,8765,0.440159726
Decatur,19.2,86.3,37.6,38275,15.57937566,8286,0.446898383
Delaware,14.9,90,42.3,54801,30.42508226,17578,0.521390374
Des Moines,20.2,90.7,41.7,42146,96.76225539,40265,0.464746057
Dickinson,25.2,95,48.7,56086,44.34244337,16877,0.60715767
Dubuque,27.8,91.9,38.9,53410,156.4445467,95166,0.515278566
Emmet,14.8,88.4,40.6,48545,25.43169211,10068,0.467520858
Fayette,18.4,89.5,43,45443,28.31511841,20693,0.474218335
Floyd,17,89.5,43.6,43169,32.26521677,16153,0.494335418
Franklin,16.3,85.7,43,48218,18.16582241,10572,0.464907302
Fremont,20.9,92.3,46.3,52221,14.08585721,7200,0.493611111
Greene,17.3,90.6,45.1,47255,16.20860503,9232,0.515814558
Grundy,20.5,94.2,42.4,55896,24.71416217,12403,0.545513182
