,votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips
1,1127,2456,3759,0.29981378,0.653365257,"1,329",35.36%,IA,Adair County,19001
2,565,1393,2082,0.271373679,0.669068204,828,39.77%,IA,Adams County,19003
3,2409,4072,6837,0.352347521,0.595582858,"1,663",24.32%,IA,Allamakee County,19005
4,1813,4031,6096,0.297408136,0.661253281,"2,218",36.38%,IA,Appanoose County,19007
5,1079,2135,3379,0.319325244,0.631843741,"1,056",31.25%,IA,Audubon County,19009
6,4672,8226,13690,0.341271001,0.600876552,"3,554",25.96%,IA,Benton County,19011
7,32006,27382,63221,0.506255833,0.433115579,"4,624",7.31%,IA,Black Hawk County,19013
8,5517,7458,13984,0.394522311,0.533323799,"1,941",13.88%,IA,Boone County,19015
9,5349,7199,13350,0.400674157,0.539250936,"1,850",13.86%,IA,Bremer County,19017
10,3966,5504,10137,0.391240012,0.542961428,"1,538",15.17%,IA,Buchanan County,19019
11,2851,4895,8179,0.34857562,0.598483922,"2,044",24.99%,IA,Buena Vista County,19021
12,2163,4918,7457,0.290063028,0.65951455,"2,755",36.95%,IA,Butler County,19023
13,1396,3466,5105,0.273457395,0.678942214,"2,070",40.55%,IA,Calhoun County,19025
14,3305,6627,10435,0.316722568,0.635074269,"3,322",31.84%,IA,Carroll County,19027
15,1946,4755,7055,0.275832743,0.673990078,"2,809",39.82%,IA,Cass County,19029
16,3578,5275,9386,0.381206052,0.562007245,"1,697",18.08%,IA,Cedar County,19031
17,9840,11583,22633,0.434763399,0.511774842,"1,743",7.70%,IA,Cerro Gordo County,19033
18,1676,4188,6186,0.270934368,0.677012609,"2,512",40.61%,IA,Cherokee County,19035
19,2264,3739,6367,0.355583477,0.587246741,"1,475",23.17%,IA,Chickasaw County,19037
20,1463,2706,4405,0.332122588,0.61430193,"1,243",28.22%,IA,Clarke County,19039
21,2246,5870,8542,0.262936081,0.687192695,"3,624",42.43%,IA,Clay County,19041
22,3236,5309,9098,0.355682568,0.583534843,"2,073",22.79%,IA,Clayton County,19043
23,10079,11249,22748,0.443071918,0.494505011,"1,170",5.14%,IA,Clinton County,19045
24,1985,4608,6862,0.289274264,0.671524337,"2,623",38.23%,IA,Crawford County,19047
25,15662,19288,37617,0.416354308,0.512746896,"3,626",9.64%,IA,Dallas County,19049
26,976,2721,3858,0.252980819,0.705287714,"1,745",45.23%,IA,Davis County,19051
27,1201,2296,3703,0.324331623,0.620037807,"1,095",29.57%,IA,Decatur County,19053
28,2956,5688,9165,0.322531369,0.620621931,"2,732",29.81%,IA,Delaware County,19055
29,8178,9479,18713,0.437022391,0.506546251,"1,301",6.95%,IA,Des Moines County,19057
30,3051,6743,10247,0.297745682,0.658046257,"3,692",36.03%,IA,Dickinson County,19059
31,22774,23384,49037,0.464424822,0.476864409,610,1.24%,IA,Dubuque County,19061
32,1356,3121,4707,0.288081581,0.663055024,"1,765",37.50%,IA,Emmet County,19063
33,3666,5591,9813,0.373586059,0.569754407,"1,925",19.62%,IA,Fayette County,19065
34,3177,4371,7985,0.397871008,0.547401378,"1,194",14.95%,IA,Floyd County,19067
35,1490,3153,4915,0.303153611,0.641505595,"1,663",33.84%,IA,Franklin County,19069
36,959,2401,3554,0.269836804,0.675576815,"1,442",40.57%,IA,Fremont County,19071
37,1688,2819,4762,0.354472911,0.59197816,"1,131",23.75%,IA,Greene County,19073
38,1847,4516,6766,0.27298256,0.667454922,"2,669",39.45%,IA,Grundy County,19075
39,1720,3603,5654,0.304209409,0.637247966,"1,883",33.30%,IA,Guthrie County,19077
40,2715,4450,7589,0.357754645,0.586375016,"1,735",22.86%,IA,Hamilton County,19079
41,1582,3972,5815,0.27205503,0.683061049,"2,390",41.10%,IA,Hancock County,19081
42,2774,5231,8423,0.329336341,0.621037635,"2,457",29.17%,IA,Hardin County,19083
43,2123,4892,7378,0.287747357,0.663052318,"2,769",37.53%,IA,Harrison County,19085
44,2897,5764,9286,0.311975016,0.620719362,"2,867",30.87%,IA,Henry County,19087
45,1674,2611,4507,0.371422232,0.579321056,937,20.79%,IA,Howard County,19089
46,1251,3564,5033,0.248559507,0.708126366,"2,313",45.96%,IA,Humboldt County,19091
47,792,2655,3590,0.220612813,0.739554318,"1,863",51.89%,IA,Ida County,19093
48,3070,5193,8789,0.349300262,0.590852202,"2,123",24.16%,IA,Iowa County,19095
49,3837,5821,10204,0.376029008,0.570462564,"1,984",19.44%,IA,Jackson County,19097
50,7108,10556,18776,0.378568385,0.562207073,"3,448",18.36%,IA,Jasper County,19099
51,3702,3738,8001,0.462692163,0.467191601,36,0.45%,IA,Jefferson County,19101
52,49942,20993,75637,0.66028531,0.277549348,"28,949",38.27%,IA,Johnson County,19103
53,3779,5718,10011,0.377484767,0.571171711,"1,939",19.37%,IA,Jones County,19105
54,1265,3385,4858,0.260395224,0.696788802,"2,120",43.64%,IA,Keokuk County,19107
55,2529,5637,8505,0.297354497,0.662786596,"3,108",36.54%,IA,Kossuth County,19109
56,6195,8762,15893,0.389794249,0.551311898,"2,567",16.15%,IA,Lee County,19111
57,58481,48183,114664,0.510020582,0.420210354,"10,298",8.98%,IA,Linn County,19113
58,1643,3060,4943,0.332389237,0.619057253,"1,417",28.67%,IA,Louisa County,19115
59,1236,2873,4297,0.287642541,0.668606004,"1,637",38.10%,IA,Lucas County,19117
60,917,5188,6336,0.144728535,0.818813131,"4,271",67.41%,IA,Lyon County,19119
61,2666,5336,8523,0.312800657,0.626070632,"2,670",31.33%,IA,Madison County,19121
62,2606,7404,10494,0.24833238,0.705546026,"4,798",45.72%,IA,Mahaska County,19123
63,5469,10940,17554,0.311552922,0.623219779,"5,471",31.17%,IA,Marion County,19125
64,7623,9125,17700,0.430677966,0.515536723,"1,502",8.49%,IA,Marshall County,19127
65,2080,5050,7608,0.273396425,0.663774974,"2,970",39.04%,IA,Mills County,19129
66,1879,3180,5360,0.350559701,0.593283582,"1,301",24.27%,IA,Mitchell County,19131
67,1244,3115,4525,0.274917127,0.68839779,"1,871",41.35%,IA,Monona County,19133
68,1053,2635,3844,0.273933403,0.685483871,"1,582",41.16%,IA,Monroe County,19135
69,1312,3431,4998,0.262505002,0.68647459,"2,119",42.40%,IA,Montgomery County,19137
70,8284,9549,19086,0.434035419,0.500314367,"1,265",6.63%,IA,Muscatine County,19139
71,1314,5735,7348,0.17882417,0.780484486,"4,421",60.17%,IA,O'Brien County,19141
