Date,County,Sales (Dollars)
2014-01-02,allamakee,505.78
2014-01-02,black hawk,106479.37000000008
2014-01-02,boone,4136.59
2014-01-02,carroll,29607.56
2014-01-02,cedar,4186.41
2014-01-02,cerro gordo,2988.3600000000006
2014-01-02,clarke,4596.319999999999
2014-01-02,clinton,57911.58000000004
2014-01-02,crawford,14833.259999999997
2014-01-02,dallas,14496.469999999994
2014-01-02,decatur,3165.99
2014-01-02,greene,5932.519999999999
2014-01-02,hamilton,1810.38
2014-01-02,ida,181.68
2014-01-02,iowa,8051.530000000001
2014-01-02,jasper,1008.9800000000001
2014-01-02,johnson,142395.47000000035
2014-01-02,jones,6873.159999999997
2014-01-02,linn,100801.35000000017
2014-01-02,lucas,9176.05
2014-01-02,marion,1532.7
2014-01-02,polk,325550.41000000027
2014-01-02,warren,32655.700000000026
2014-01-02,wayne,2874.1200000000003
2014-01-06,adair,7208.780000000002
2014-01-06,audubon,3340.639999999999
2014-01-06,benton,6383.02
2014-01-06,black hawk,134311.6000000001
2014-01-06,buchanan,25303.859999999982
2014-01-06,butler,3369.48
2014-01-06,cass,19022.61
2014-01-06,cedar,1043.1
2014-01-06,cerro gordo,116303.33000000003
2014-01-06,clayton,11005.660000000003
2014-01-06,dallas,5665.8
2014-01-06,delaware,21255.529999999995
2014-01-06,des moines,77243.12999999995
2014-01-06,dubuque,1704.3000000000002
2014-01-06,fayette,1185.47
2014-01-06,franklin,10158.799999999997
2014-01-06,grundy,5872.410000000002
2014-01-06,guthrie,1378.0300000000002
2014-01-06,hardin,20731.260000000006
2014-01-06,harrison,10286.939999999995
2014-01-06,henry,24844.92
2014-01-06,iowa,9854.57
2014-01-06,jackson,26328.049999999996
2014-01-06,jasper,14331.910000000005
2014-01-06,jefferson,21256.04
2014-01-06,johnson,35850.25000000002
2014-01-06,jones,7857.48
2014-01-06,keokuk,1388.2200000000003
2014-01-06,lee,71166.3000000001
2014-01-06,linn,309736.04000000004
2014-01-06,louisa,4087.260000000001
2014-01-06,muscatine,72228.34000000004
2014-01-06,polk,265290.40000000026
2014-01-06,pottawattamie,203115.47000000015
2014-01-06,scott,111114.34999999998
2014-01-06,shelby,11120.929999999991
2014-01-06,story,2743.6799999999994
2014-01-06,van buren,5356.089999999999
2014-01-06,wapello,3911.6899999999996
2014-01-06,washington,30150.04000000001
2014-01-06,webster,1260.5700000000004
2014-01-06,winnebago,1716.94
2014-01-06,worth,3799.1800000000003
2014-01-07,adams,2213.5499999999997
2014-01-07,benton,2898.43
2014-01-07,bremer,17551.819999999992
2014-01-07,butler,6223.83
2014-01-07,cherokee,13085.949999999988
2014-01-07,chickasaw,8011.520000000002
2014-01-07,clay,20592.32999999997
2014-01-07,clayton,2988.8999999999996
2014-01-07,dallas,29099.12
2014-01-07,dickinson,38436.630000000005
2014-01-07,emmet,5418.780000000001
2014-01-07,floyd,17693.889999999992
2014-01-07,hamilton,15273.219999999998
2014-01-07,hardin,5468.650000000001
2014-01-07,howard,16402.25
2014-01-07,humboldt,9599.380000000008
2014-01-07,iowa,1168.55
2014-01-07,jasper,15316.910000000009
2014-01-07,kossuth,4488.749999999999
2014-01-07,linn,52616.39
2014-01-07,lyon,15095.199999999997
2014-01-07,madison,7895.790000000001
2014-01-07,marshall,59799.79999999999
2014-01-07,mills,9005.749999999998
2014-01-07,mitchell,11169.079999999998
2014-01-07,montgomery,15666.899999999989
2014-01-07,o'brien,26064.929999999993
2014-01-07,osceola,5455.089999999999
2014-01-07,page,14311.439999999993
2014-01-07,palo alto,12963.379999999996
2014-01-07,plymouth,34280.02
2014-01-07,pocahontas,7482.700000000003
2014-01-07,polk,293382.70000000036
2014-01-07,pottawattamie,3703.7400000000007
2014-01-07,poweshiek,20060.25999999999
2014-01-07,ringgold,3982.3200000000015
2014-01-07,sioux,21043.479999999992
2014-01-07,story,18295.02
2014-01-07,tama,14043.219999999992
2014-01-07,taylor,3458.0299999999993
2014-01-07,union,14276.939999999997
2014-01-07,webster,56270.51999999998
2014-01-07,wright,13638.520000000004
2014-01-08,allamakee,13535.32000000001
2014-01-08,appanoose,21059.00999999999
2014-01-08,benton,3122.6699999999996
2014-01-08,black hawk,30888.10999999998
2014-01-08,boone,24764.239999999994
2014-01-08,bremer,5450.359999999996
2014-01-08,buchanan,5430.369999999999
2014-01-08,buena vista,37139.580000000016
2014-01-08,calhoun,8439.429999999998
2014-01-08,cedar,3073.2
2014-01-08,crawford,3335.7599999999993
2014-01-08,dallas,1302.1799999999998
2014-01-08,davis,2763.7400000000007
2014-01-08,dubuque,179350.1500000001
2014-01-08,fayette,23067.83000000001
2014-01-08,hamilton,3774.3700000000003
2014-01-08,hancock,6518.490000000002
2014-01-08,ida,8134.2699999999995
2014-01-08,iowa,8778.230000000001
2014-01-08,jasper,696.3599999999999
2014-01-08,johnson,38723.21999999997
2014-01-08,jones,6501.169999999997
2014-01-08,kossuth,28893.440000000002
2014-01-08,linn,52157.629999999976
2014-01-08,mahaska,19586.069999999996
2014-01-08,marion,25380.24000000001
2014-01-08,monona,12260.509999999987
2014-01-08,monroe,7014.800000000001
2014-01-08,plymouth,3252.390000000001
2014-01-08,polk,104264.40000000004
2014-01-08,poweshiek,1762.5900000000004
2014-01-08,sac,11627.36
2014-01-08,scott,331672.03000000026
2014-01-08,story,143690.97000000003
2014-01-08,wapello,43249.740000000056
2014-01-08,warren,793.0799999999999
2014-01-08,webster,3784.509999999999
2014-01-08,winnebago,12891.379999999996
2014-01-08,winneshiek,28822.789999999986
2014-01-08,woodbury,194052.38000000018
2014-01-09,black hawk,125066.70000000004
2014-01-09,boone,7907.179999999999
2014-01-09,carroll,42844.93999999999
2014-01-09,cedar,5916.730000000003
2014-01-09,cerro gordo,3350.290000000001
2014-01-09,clarke,11544.419999999998
2014-01-09,clinton,73166.08999999994
2014-01-09,crawford,24086.379999999997
2014-01-09,dallas,5489.140000000001
2014-01-09,greene,2917.2099999999996
2014-01-09,iowa,6181.2
2014-01-09,jackson,912.48
2014-01-09,johnson,175178.37000000034
2014-01-09,jones,5977.67
2014-01-09,linn,126510.49000000017
2014-01-09,lucas,4586.18
2014-01-09,madison,579.96
2014-01-09,marion,2525.690000000001
2014-01-09,polk,368490.2800000001
2014-01-09,story,1200.3400000000001
2014-01-09,warren,33680.790000000015
2014-01-09,wayne,1214.2199999999998
2014-01-13,adair,7672.47
2014-01-13,audubon,2203.2599999999998
2014-01-13,benton,2531.58
2014-01-13,black hawk,83117.2000000001
2014-01-13,buchanan,13255.18
2014-01-13,butler,1547.5800000000002
2014-01-13,cass,13502.910000000002
2014-01-13,cerro gordo,80348.43000000017
2014-01-13,clayton,9332.399999999998
2014-01-13,dallas,102358.8
2014-01-13,delaware,15777.499999999993
2014-01-13,des moines,56388.67999999999
2014-01-13,dubuque,1815.96
2014-01-13,franklin,5607.259999999997
2014-01-13,grundy,3307.7400000000007
2014-01-13,guthrie,6433.380000000002
2014-01-13,hardin,19083.609999999982
2014-01-13,harrison,6222.959999999998
2014-01-13,henry,12084.070000000002
2014-01-13,iowa,4083.49
2014-01-13,jackson,16325.189999999995
2014-01-13,jasper,12127.250000000002
2014-01-13,jefferson,9864.739999999996
2014-01-13,johnson,49822.90000000001
2014-01-13,jones,2627.28
2014-01-13,keokuk,4792.149999999999
2014-01-13,lee,46312.88
2014-01-13,linn,165264.59
2014-01-13,louisa,8364.859999999995
2014-01-13,muscatine,38555.52
2014-01-13,polk,165695.7100000004
2014-01-13,pottawattamie,118145.69000000013
2014-01-13,scott,80278.06999999995
2014-01-13,shelby,12699.260000000004
2014-01-13,story,2215.83
2014-01-13,van buren,4003.32
2014-01-13,wapello,3261.870000000001
2014-01-13,washington,26358.87999999999
2014-01-13,winnebago,2044.02
2014-01-13,worth,1810.8799999999999
2014-01-13,wright,3101.0399999999995
2014-01-14,adams,1491.31
2014-01-14,benton,10413.279999999995
2014-01-14,bremer,16893.409999999993
2014-01-14,butler,2009.5800000000002
2014-01-14,cherokee,14076.64
2014-01-14,chickasaw,5846.3200000000015
2014-01-14,clay,24070.36000000001
2014-01-14,clayton,1276.3400000000001
2014-01-14,dallas,23881.399999999994
2014-01-14,dickinson,49357.64000000003
2014-01-14,emmet,8712.299999999997
2014-01-14,floyd,15009.81
2014-01-14,hamilton,11243.989999999998
2014-01-14,hardin,12093.339999999993
2014-01-14,howard,6907.259999999999
2014-01-14,humboldt,8300.639999999998
2014-01-14,jasper,14689.509999999987
2014-01-14,kossuth,1444.75
2014-01-14,linn,39337.92
2014-01-14,lyon,14639.250000000004
2014-01-14,madison,9975.810000000001
2014-01-14,marshall,43420.790000000015
2014-01-14,mills,8927.739999999996
2014-01-14,mitchell,6078.549999999999
2014-01-14,montgomery,7597.740000000001
2014-01-14,o'brien,22481.499999999985
2014-01-14,osceola,4020.090000000002
2014-01-14,page,15657.739999999983
2014-01-14,palo alto,13951.939999999991
2014-01-14,plymouth,35017.869999999995
2014-01-14,pocahontas,4258.299999999999
2014-01-14,polk,215164.57000000065
2014-01-14,pottawattamie,4065.52
2014-01-14,poweshiek,19501.519999999993
2014-01-14,ringgold,1804.0200000000004
2014-01-14,sioux,25098.28999999999
2014-01-14,story,14109.349999999999
2014-01-14,tama,11890.269999999995
2014-01-14,taylor,879.9500000000002
2014-01-14,union,19259.499999999996
2014-01-14,webster,45770.089999999975
2014-01-14,wright,12912.040000000012
2014-01-15,allamakee,11268.28999999999
2014-01-15,appanoose,16226.849999999997
2014-01-15,benton,2142.1099999999997
2014-01-15,black hawk,21730.45999999999
2014-01-15,boone,19367.87
2014-01-15,bremer,6470.669999999998
2014-01-15,buchanan,5226.199999999998
2014-01-15,buena vista,31439.15999999999
2014-01-15,calhoun,4193.56
2014-01-15,cedar,3047.250000000001
2014-01-15,crawford,2344.399999999999
2014-01-15,davis,1654.7200000000003
2014-01-15,dubuque,121160.15000000004
2014-01-15,fayette,14058.520000000002
2014-01-15,greene,1963.3199999999995
2014-01-15,hamilton,1207.04
2014-01-15,hancock,2957.3099999999986
2014-01-15,ida,9539.040000000006
2014-01-15,iowa,8282.289999999999
2014-01-15,johnson,28975.809999999987
2014-01-15,jones,6919.839999999997
2014-01-15,kossuth,32547.530000000006
2014-01-15,linn,32735.56999999998
2014-01-15,mahaska,21651.47000000001
2014-01-15,marion,28336.729999999974
2014-01-15,marshall,4049.7000000000003
2014-01-15,monona,13616.859999999995
2014-01-15,monroe,2653.5799999999995
2014-01-15,plymouth,1079.52
2014-01-15,polk,108671.97000000012
2014-01-15,pottawattamie,2513.5499999999997
2014-01-15,poweshiek,2236.6600000000003
2014-01-15,sac,7380.160000000001
2014-01-15,scott,199132.63999999987
2014-01-15,story,112901.39000000017
2014-01-15,wapello,53583.50000000003
