Date,County,Volume Sold (Liters)
2014-01-02,allamakee,38.75
2014-01-02,black hawk,7525.110000000008
2014-01-02,boone,344.75
2014-01-02,carroll,2047.8400000000004
2014-01-02,cedar,289.57
2014-01-02,cerro gordo,207.0
2014-01-02,clarke,366.0
2014-01-02,clinton,4155.13
2014-01-02,crawford,958.6099999999999
2014-01-02,dallas,935.84
2014-01-02,decatur,242.13
2014-01-02,greene,437.33
2014-01-02,hamilton,100.12
2014-01-02,ida,9.0
2014-01-02,iowa,521.7
2014-01-02,jasper,76.95
2014-01-02,johnson,9280.610000000004
2014-01-02,jones,476.97
2014-01-02,linn,7240.410000000001
2014-01-02,lucas,668.3
2014-01-02,marion,97.62
2014-01-02,polk,21671.72999999998
2014-01-02,warren,2456.34
2014-01-02,wayne,241.5
2014-01-06,adair,555.0
2014-01-06,audubon,279.75
2014-01-06,benton,672.0
2014-01-06,black hawk,9967.210000000001
2014-01-06,buchanan,1781.4899999999998
2014-01-06,butler,293.25
2014-01-06,cass,1381.7000000000003
2014-01-06,cedar,87.0
2014-01-06,cerro gordo,8428.87
2014-01-06,clayton,803.25
2014-01-06,dallas,735.0
2014-01-06,delaware,1516.4199999999998
2014-01-06,des moines,5302.200000000001
2014-01-06,dubuque,112.5
2014-01-06,fayette,108.35
2014-01-06,franklin,818.37
2014-01-06,grundy,543.14
2014-01-06,guthrie,132.0
2014-01-06,hardin,1676.0700000000002
2014-01-06,harrison,731.41
2014-01-06,henry,1834.4599999999998
2014-01-06,iowa,747.74
2014-01-06,jackson,2078.0199999999995
2014-01-06,jasper,1049.08
2014-01-06,jefferson,1453.13
2014-01-06,johnson,2372.44
2014-01-06,jones,618.0
2014-01-06,keokuk,123.75
2014-01-06,lee,5480.300000000002
2014-01-06,linn,23783.429999999993
2014-01-06,louisa,257.12
2014-01-06,muscatine,4887.980000000001
2014-01-06,polk,17416.419999999995
2014-01-06,pottawattamie,13325.630000000005
2014-01-06,scott,6794.9500000000035
2014-01-06,shelby,873.5400000000001
2014-01-06,story,208.13
2014-01-06,van buren,346.86000000000007
2014-01-06,wapello,261.58000000000004
2014-01-06,washington,1954.0899999999997
2014-01-06,webster,146.5
2014-01-06,winnebago,138.0
2014-01-06,worth,338.49
2014-01-07,adams,138.68
2014-01-07,benton,197.62
2014-01-07,bremer,1588.8099999999995
2014-01-07,butler,499.79
2014-01-07,cherokee,1000.5000000000001
2014-01-07,chickasaw,735.35
2014-01-07,clay,1644.98
2014-01-07,clayton,229.2
2014-01-07,dallas,2059.12
2014-01-07,dickinson,2957.6199999999985
2014-01-07,emmet,450.97
2014-01-07,floyd,1395.75
2014-01-07,hamilton,1121.7999999999997
2014-01-07,hardin,437.5
2014-01-07,howard,1231.6
2014-01-07,humboldt,801.22
2014-01-07,iowa,77.5
2014-01-07,jasper,1279.9399999999998
2014-01-07,kossuth,342.0
2014-01-07,linn,3745.559999999999
2014-01-07,lyon,1109.47
2014-01-07,madison,611.72
2014-01-07,marshall,4373.129999999999
2014-01-07,mills,751.75
2014-01-07,mitchell,925.84
2014-01-07,montgomery,1126.3799999999999
2014-01-07,o'brien,2019.5199999999993
2014-01-07,osceola,496.30999999999995
2014-01-07,page,1126.69
2014-01-07,palo alto,1076.99
2014-01-07,plymouth,2634.3900000000003
2014-01-07,pocahontas,665.72
2014-01-07,polk,21063.36
2014-01-07,pottawattamie,268.5
2014-01-07,poweshiek,1394.9700000000003
2014-01-07,ringgold,285.0
2014-01-07,sioux,1521.5399999999997
2014-01-07,story,1429.11
2014-01-07,tama,1138.08
2014-01-07,taylor,281.25
2014-01-07,union,1037.47
2014-01-07,webster,4028.29
2014-01-07,wright,1022.82
2014-01-08,allamakee,1093.02
2014-01-08,appanoose,1718.1599999999999
2014-01-08,benton,238.3
2014-01-08,black hawk,2316.7999999999997
2014-01-08,boone,1633.3400000000001
2014-01-08,bremer,460.77
2014-01-08,buchanan,543.0
2014-01-08,buena vista,2356.2799999999997
2014-01-08,calhoun,714.28
2014-01-08,cedar,146.63
2014-01-08,crawford,238.0
2014-01-08,dallas,97.0
2014-01-08,davis,205.0
2014-01-08,dubuque,12538.230000000003
2014-01-08,fayette,1851.98
2014-01-08,hamilton,321.0
2014-01-08,hancock,501.5
2014-01-08,ida,661.3000000000001
2014-01-08,iowa,787.75
2014-01-08,jasper,60.0
2014-01-08,johnson,2370.189999999999
2014-01-08,jones,526.28
2014-01-08,kossuth,2279.05
2014-01-08,linn,4184.470000000001
2014-01-08,mahaska,1344.7099999999998
2014-01-08,marion,1708.68
2014-01-08,monona,906.9200000000001
2014-01-08,monroe,462.49
2014-01-08,muscatine,131.26999999999998
2014-01-08,plymouth,269.12
2014-01-08,polk,7078.42
2014-01-08,poweshiek,113.37
2014-01-08,sac,988.84
2014-01-08,scott,22873.069999999992
2014-01-08,story,10625.390000000009
2014-01-08,wapello,2876.4099999999994
2014-01-08,warren,27.0
2014-01-08,webster,244.49
2014-01-08,winnebago,1073.35
2014-01-08,winneshiek,1901.3399999999997
2014-01-08,woodbury,12478.239999999996
2014-01-09,black hawk,8871.930000000008
2014-01-09,boone,642.11
2014-01-09,carroll,2869.060000000001
2014-01-09,cedar,530.62
2014-01-09,cerro gordo,213.04999999999998
2014-01-09,clarke,978.0
2014-01-09,clinton,5619.490000000002
2014-01-09,crawford,1739.38
2014-01-09,dallas,542.25
2014-01-09,greene,218.75
2014-01-09,iowa,366.7
2014-01-09,jackson,115.5
2014-01-09,johnson,11440.28000000001
2014-01-09,jones,477.17
2014-01-09,linn,9066.2
2014-01-09,lucas,379.53
2014-01-09,madison,45.0
2014-01-09,marion,183.70999999999998
2014-01-09,polk,25315.709999999974
2014-01-09,story,112.5
2014-01-09,warren,2572.64
2014-01-09,wayne,129.0
2014-01-13,adair,551.97
2014-01-13,audubon,209.0
2014-01-13,benton,208.5
2014-01-13,black hawk,6178.07
2014-01-13,buchanan,967.8900000000001
2014-01-13,butler,174.0
2014-01-13,cass,1094.1
2014-01-13,cerro gordo,6774.179999999998
2014-01-13,clayton,623.9
2014-01-13,dallas,5166.0
2014-01-13,delaware,1400.06
2014-01-13,des moines,4271.9
2014-01-13,dubuque,135.0
2014-01-13,franklin,474.90000000000003
2014-01-13,grundy,282.66999999999996
2014-01-13,guthrie,645.85
2014-01-13,hardin,1625.85
2014-01-13,harrison,450.03000000000003
2014-01-13,henry,1001.97
2014-01-13,iowa,331.74
2014-01-13,jackson,1307.4299999999998
2014-01-13,jasper,1069.8999999999999
2014-01-13,jefferson,801.35
2014-01-13,johnson,3222.2799999999993
