Date,County,Sales (Dollars)
2014-01-01,adair,29286.199999999997
2014-01-01,adams,6631.540000000003
2014-01-01,allamakee,47324.47
2014-01-01,appanoose,71855.44
2014-01-01,audubon,11627.079999999994
2014-01-01,benton,48872.55999999997
2014-01-01,black hawk,1183038.2699999898
2014-01-01,boone,114978.44999999995
2014-01-01,bremer,111533.18000000017
2014-01-01,buchanan,102272.37000000001
2014-01-01,buena vista,125929.61000000004
2014-01-01,butler,20580.019999999993
2014-01-01,calhoun,25581.14999999999
2014-01-01,carroll,153063.84000000003
2014-01-01,cass,78149.10000000005
2014-01-01,cedar,38905.52000000003
2014-01-01,cerro gordo,410005.6000000002
2014-01-01,cherokee,50380.44000000001
2014-01-01,chickasaw,27455.37999999998
2014-01-01,clarke,53167.96000000001
2014-01-01,clay,104421.50999999994
2014-01-01,clayton,41415.89000000003
2014-01-01,clinton,288022.59000000055
2014-01-01,crawford,99199.90999999996
2014-01-01,dallas,317011.9600000001
2014-01-01,davis,7767.049999999998
2014-01-01,decatur,11548.639999999996
2014-01-01,delaware,71091.63000000003
2014-01-01,des moines,249908.90000000034
2014-01-01,dickinson,233344.78000000052
2014-01-01,dubuque,641477.4600000011
2014-01-01,emmet,29821.430000000008
2014-01-01,fayette,87373.80000000006
2014-01-01,floyd,66771.2
2014-01-01,franklin,27312.47000000004
2014-01-01,greene,22957.11
2014-01-01,grundy,17433.700000000004
2014-01-01,guthrie,15690.04
2014-01-01,hamilton,72617.10000000002
2014-01-01,hancock,18907.72000000002
2014-01-01,hardin,135310.84999999998
2014-01-01,harrison,30408.670000000013
2014-01-01,henry,94761.22
2014-01-01,howard,54566.16
2014-01-01,humboldt,35856.39000000002
2014-01-01,ida,30442.939999999973
2014-01-01,iowa,103385.21999999996
2014-01-01,jackson,91555.37
2014-01-01,jasper,130248.26999999995
2014-01-01,jefferson,65327.159999999996
2014-01-01,johnson,1244267.6799999801
2014-01-01,jones,104351.22000000004
2014-01-01,keokuk,11432.689999999993
2014-01-01,kossuth,121826.02000000006
