Date,County,Volume Sold (Liters)
2014-01-01,adair,2401.8999999999996
2014-01-01,adams,498.91000000000014
2014-01-01,allamakee,3923.81
2014-01-01,appanoose,6082.76
2014-01-01,audubon,1018.0
2014-01-01,benton,4125.63
2014-01-01,black hawk,87246.7800000004
2014-01-01,boone,9157.500000000002
2014-01-01,bremer,8903.669999999998
2014-01-01,buchanan,7932.029999999999
2014-01-01,buena vista,9379.610000000004
2014-01-01,butler,1910.31
2014-01-01,calhoun,2211.629999999999
2014-01-01,carroll,10717.36999999999
2014-01-01,cass,5638.620000000001
2014-01-01,cedar,3316.8700000000013
2014-01-01,cerro gordo,33166.51999999996
2014-01-01,cherokee,3951.3299999999986
2014-01-01,chickasaw,2600.85
2014-01-01,clarke,4096.05
2014-01-01,clay,8895.260000000002
2014-01-01,clayton,3241.5000000000005
2014-01-01,clinton,22442.399999999994
2014-01-01,crawford,7637.990000000002
2014-01-01,dallas,20593.80000000001
2014-01-01,davis,671.25
2014-01-01,decatur,935.85
2014-01-01,delaware,5244.199999999999
2014-01-01,des moines,18639.49
2014-01-01,dickinson,18009.73000000001
2014-01-01,dubuque,47984.22999999992
2014-01-01,emmet,2488.27
2014-01-01,fayette,7162.54
2014-01-01,floyd,5950.139999999999
2014-01-01,franklin,2302.75
2014-01-01,greene,1859.5800000000017
2014-01-01,grundy,1564.5399999999997
2014-01-01,guthrie,1301.85
2014-01-01,hamilton,6343.379999999997
2014-01-01,hancock,1719.87
2014-01-01,hardin,10634.34
2014-01-01,harrison,2314.1199999999994
2014-01-01,henry,7637.910000000001
2014-01-01,howard,4426.799999999999
2014-01-01,humboldt,3110.6699999999996
2014-01-01,ida,2479.96
2014-01-01,iowa,8050.610000000001
2014-01-01,jackson,6905.649999999997
2014-01-01,jasper,10331.919999999998
2014-01-01,jefferson,4571.1
2014-01-01,johnson,83156.9400000002
2014-01-01,jones,8678.279999999997
2014-01-01,keokuk,1002.76
2014-01-01,kossuth,9462.240000000007
2014-01-01,lee,17603.780000000006
2014-01-01,linn,134046.22000000018
2014-01-01,louisa,1450.8999999999999
2014-01-01,lucas,2376.6699999999996
2014-01-01,lyon,4094.089999999998
2014-01-01,madison,2632.279999999999
2014-01-01,mahaska,5834.74
2014-01-01,marion,11086.250000000004
2014-01-01,marshall,17946.29
2014-01-01,mills,2701.2
